TimeStamp,ch1,ch2,ch3,ch4
2019522.8225,20612.19,9728.86,14652.4,41394.67
2019522.8265,20597.36,9723.71,14651.92,41395.96
2019522.8305,20577.96,9725.81,14662.32,41403.11
2019522.8345,20568.33,9721.23,14666.51,41410.5
2019522.8385,20598.32,9724.43,14665.18,41409.69
2019522.8425,20623.16,9725.14,14658.31,41403.68
2019522.8465,20599.51,9720.52,14659.74,41402.2
2019522.8505,20577.24,9720.99,14670.56,41415.03
2019522.8545,20570.47,9720.71,14679.67,41426.38
2019522.8585,20600.51,9728.67,14679.2,41423.52
2019522.8625,20615.77,9726.1,14664.6,41404.82
2019522.8665,20591.31,9713.13,14652.49,41393.76
2019522.8705,20567.56,9710.74,14658.5,41400.72
2019522.8745,20556.88,9717.23,14670.42,41411.98
2019522.8785,20585.21,9718.47,14665.18,41404.3
2019522.8825,20606.85,9712.6,14647.58,41389.28
2019522.8865,20592.17,9715.46,14645.77,41391.43
2019522.8905,20572.09,9714.94,14655.64,41402.77
2019522.8945,20570.33,9716.94,14669.42,41417.51
2019522.8985,20595.93,9719.09,14666.13,41411.83
2019522.9025,20617.77,9719.56,14661.03,41408.45
2019522.9065,20608.33,9728.34,14667.8,41412.88
2019522.9105,20581.82,9734.68,14673.38,41409.55
2019522.9145,20575.43,9739.4,14687.59,41420.61
2019522.9185,20604.66,9739.69,14683.63,41418.94
2019522.9225,20615.53,9732.87,14661.36,41398.34
2019522.9265,20604.71,9740.02,14667.66,41400.01
2019522.9305,20584.2,9741.4,14678.86,41411.93
2019522.9345,20573.95,9746.6,14692.59,41428.48
2019522.9385,20600.8,9746.5,14685.78,41422.42
2019522.9425,20624.07,9739.69,14672.47,41414.74
2019522.9465,20602.71,9731.39,14667.32,41412.41
2019522.9505,20581.87,9731.63,14672.42,41421.47
2019522.9545,20573.62,9736.35,14682.58,41433.63
2019522.9585,20600.42,9742.64,14682.39,41426.33
2019522.9625,20618.63,9744.79,14670.18,41413.12
2019522.9665,20604.42,9741.26,14672.66,41418.18
2019522.9705,20584.73,9742.59,14685.11,41431.86
2019522.9745,20573.76,9740.26,14692.02,41439.11
