TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2019526.6364,421.388,786.595,412.604,19871.25,14638.75,7498.75,846.64,-629.28,-337.44
2019526.6864,425.109,825.818,371.002,17053.75,10648.75,3456.25,854.24,-635.36,-349.6
2019526.7364,443.043,827.77,342.515,15627.5,7988.75,17.5,857.28,-644.48,-323.76
2019526.7864,427.671,880.23,316.895,9397.5,7612.5,-3955.0,855.76,-647.52,-316.16
2019526.8364,408.395,882.548,307.379,-78.75,4515.0,-8697.5,860.32,-644.48,-332.88
2019526.8863,373.381,890.173,312.93,-8750.0,-253.75,-9800.0,829.92,-635.36,-326.8
2019526.9364,383.629,845.582,324.398,-12915.0,1890.0,-5853.75,870.96,-649.04,-334.4
2019526.9864,346.968,863.882,352.275,-12477.5,4007.5,-3893.75,845.12,-623.2,-338.96
2019527.0364,345.626,786.473,396.988,-12652.5,2607.5,2975.0,858.8,-644.48,-354.16
2019527.0864,336.049,805.627,411.201,-4847.5,-595.0,3823.75,861.84,-652.08,-352.64
2019527.1364,370.453,801.723,410.957,910.0,-4287.5,6335.0,866.4,-626.24,-340.48
2019527.1864,382.165,816.607,409.737,4471.25,-3815.0,7927.5,851.2,-642.96,-346.56
2019527.2364,370.575,777.445,393.694,9073.75,-2555.0,8828.75,858.8,-635.36,-343.52
2019527.2864,367.647,813.618,361.852,14323.75,-1723.75,8942.5,842.08,-630.8,-343.52
2019527.3364,388.448,824.476,344.589,13291.25,-971.25,10806.25,832.96,-636.88,-343.52
2019527.3864,419.802,851.194,336.72,8907.5,1435.0,12136.25,823.84,-639.92,-325.28
2019527.4364,455.121,866.871,349.408,-647.5,2878.75,15837.5,834.48,-638.4,-325.28
2019527.4864,481.29,829.234,375.76,-9003.75,4383.75,12188.75,839.04,-646.0,-337.44
2019527.5364,473.97,758.291,405.223,-6938.75,5801.25,6947.5,839.04,-638.4,-317.68
2019527.5864,444.019,768.783,408.944,-1006.25,4445.0,2756.25,832.96,-646.0,-337.44
2019527.6364,471.408,786.717,404.735,1093.75,5083.75,5215.0,816.24,-636.88,-349.6
2019527.6864,467.809,771.101,393.45,3552.5,7350.0,5127.5,813.2,-639.92,-328.32
2019527.7364,446.276,791.475,400.038,-87.5,7043.75,5206.25,837.52,-635.36,-335.92
2019527.7864,448.472,778.36,419.009,-4462.5,997.5,3290.0,804.08,-630.8,-337.44
2019527.8364,467.199,770.125,419.192,-2616.25,-1050.0,1610.0,810.16,-635.36,-337.44
2019527.8864,485.804,777.628,427.427,-1916.25,-647.5,1391.25,814.72,-627.76,-340.48
2019527.9364,488.915,751.032,419.436,1181.25,402.5,393.75,814.72,-633.84,-332.88
2019527.9864,493.673,729.438,417.85,7525.0,3640.0,-9257.5,819.28,-632.32,-343.52
2019528.0364,439.139,767.197,402.356,16616.25,4182.5,-18663.75,828.4,-641.44,-340.48
